merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
8388615,3,10,23.1,25992.44,13,8,blocked,monitoring,blocked,0,0,0,0,LUCRO PRESUMIDO,111,cnpj
16035804,23,2,92,461,4,2,blocked,monitoring,blocked,0,0,0,0,MEI,88,cnpj
12658504,6,5,54.5,4125.08,9,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
9413567,14,0,100,1103.33,3,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
9026824,42,58,42,3707.5,94,18,active,,approved,0,0,0,0,,,cpf
20144366,6,21,22.2,3056.44,31,11,active,,approved,0,0,0,0,,,cpf
16011993,9,9,50,17170.98,34,19,active,,approved,0,0,0,0,,,cpf
10111603,7,9,43.8,11459.59,11,8,active,,approved,0,0,0,0,,,cpf
15789454,14,8,63.6,1472.5,19,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
2587057,736,5024,12.8,482526.22,7265,271,active,,approved,0,0,0,0,LUCRO PRESUMIDO,152,cnpj
14211198,10,1,90.9,4492,5,4,active,,approved,0,0,0,0,,,cpf
7701335,77,362,17.5,10741.94,463,15,active,,approved,0,0,0,0,,,cpf
7312886,44,51,46.3,11661.7,85,42,active,,approved,0,0,0,0,,,cpf
10353977,35,50,41.2,10201.99,60,9,active,,approved,0,0,0,0,,,cpf
15581486,8,4,66.7,2370.38,10,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
17731347,106,1025,9.4,40218.34,1191,21,active,,approved,0,0,0,0,MEI,37,cnpj
8373760,275,744,27,66441.63,1203,69,active,,approved,0,0,0,0,,9,cnpj
2341364,50,445,10.1,45545.44,516,118,active,mpos: general attestation (1003),approved,0,0,0,0,MEI,23,cnpj
10545026,3,3,50,71.98,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
12836820,5,96,5,1895.57,101,3,active,,approved,0,0,0,0,,,cpf
12107450,18,128,12.3,8373.35,168,15,active,,approved,0,0,0,0,,6,cnpj
14993679,20,41,32.8,4542.87,62,11,active,,approved,0,0,0,0,,,cpf
15451831,12,52,18.8,3789.45,67,9,active,,approved,0,0,0,0,,,cpf
13910536,8,2,80,2362.57,6,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
10429495,9,56,13.8,18440.77,49,23,active,,approved,0,0,0,0,,7,cnpj
7542846,673,2519,21.1,108668.46,3843,124,active,,approved,0,0,0,0,MEI,8,cnpj
20455145,9,3,75,216,3,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
15250883,6,8,42.9,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13658530,3,1,75,10,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
10538533,169,228,42.6,15062.09,398,33,active,,approved,0,0,0,0,,,cpf
19450091,5,2,71.4,10137.92,20,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
17846791,16,1,94.1,1335.77,3,2,blocked,monitoring,blocked,0,0,3,0,,,cpf
17252743,9,3,75,1364.5,11,3,active,,approved,0,0,0,0,,,cpf
12627017,131,102,56.2,34398.5,206,70,active,,approved,0,0,0,0,,,cpf
10506125,7,1,87.5,925,5,1,active,,approved,0,0,0,0,,,cpf
13653127,7,1,87.5,18,5,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13325712,10,21,32.3,461,26,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
14161475,83,1001,7.7,62618.21,2164,28,active,,approved,0,0,0,0,MEI,149,cnpj
2473274,908,735,55.3,146863.9,1801,184,active,,approved,0,0,0,0,MEI,21,cnpj
11091443,6,1,85.7,1940,4,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
13059691,18,1,94.7,10570.7,14,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
8433040,18,40,31,14970.460000000001,43,8,blocked,monitoring,blocked,0,0,0,30,,,cpf
10981512,7,3,70,747.01,7,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
6656432,6,1,85.7,1514.9099999999999,5,2,blocked,monitoring,blocked,0,0,6,0,,,cpf
10576583,53,36,59.6,34307,90,43,active,,approved,0,0,0,0,,,cpf
9108509,143,1549,8.5,30311.18,1737,14,active,mpos: general attestation (1003),approved,0,0,0,0,MEI,42,cnpj
13700365,5,31,13.9,427.06,38,0,active,,approved,0,0,0,0,,,cpf
2454126,32,11,74.4,4559,37,14,active,mpos: nonce mismatch,approved,0,0,0,0,MEI,146,cnpj
7343142,23,25,47.9,10150.63,44,19,blocked,monitoring,blocked,0,0,0,0,,,cpf
11028388,22,18,55,10960,39,25,active,,approved,0,0,0,0,SIMPLES,105,cnpj
13655311,21,109,16.2,2410.67,130,5,active,,approved,0,0,0,0,,,cpf
9533469,46,40,53.5,19430.97,77,47,active,,approved,0,0,0,0,,,cpf
20476605,19,0,100,6284.76,8,3,active,,approved,0,0,0,0,,,cpf
4923965,67,193,25.8,13129.62,249,46,active,,approved,0,0,0,0,,,cpf
14322273,10,0,100,1465,12,2,blocked,monitoring,blocked,0,0,18,0,,,cpf
14605707,53,40,57,56487.91,116,65,active,,approved,0,0,0,48,SIMPLES,122,cnpj
7259863,14,9,60.9,5754.5,14,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
18833834,5,1,83.3,1637.13,5,2,blocked,monitoring,blocked,0,0,12,0,,,cpf
21852413,23,26,46.9,2324,52,5,active,,approved,0,0,0,0,,,cpf
7708524,68,142,32.4,8134.2,237,28,active,,approved,0,0,0,0,,,cpf
